cluster_type,rain_level,avg_rent_count,total_rent_count,observation_count
고수요 중심지역,강수 없음,3.7494394771726736,2749254,733244
고수요 중심지역,약한 비,2.4918105112226328,45184,18133
고수요 중심지역,보통 비,1.9431056609154427,13627,7013
고수요 중심지역,강한 비,2.3907311226528165,5984,2503
여가형,강수 없음,3.1197059661708306,21806570,6989944
여가형,약한 비,2.097519952137447,371626,177174
여가형,보통 비,1.668282301036181,107389,64371
여가형,강한 비,1.797883787661406,40100,22304
출근/거주지역,강수 없음,2.9843745890508613,4311902,1444826
출근/거주지역,약한 비,1.8149188514357053,58150,32040
출근/거주지역,보통 비,1.488932474082376,15942,10707
출근/거주지역,강한 비,1.5806368772470467,6155,3894
퇴근/중심지역,강수 없음,2.8442764879892204,7345856,2582680
퇴근/중심지역,약한 비,2.173176003790122,146785,67544
퇴근/중심지역,보통 비,1.7234016342955694,41970,24353
퇴근/중심지역,강한 비,1.6389173205959287,14411,8793
