cluster_type,temp_group,avg_rent_count,total_rent_count,observation_count
고수요 중심지역,저온,2.3516043010752687,136687,58125
고수요 중심지역,쌀쌀,3.008511156751488,518553,172362
고수요 중심지역,적정,3.9371189856673094,1261949,320526
고수요 중심지역,고온,4.290345842106781,892452,208014
여가형,저온,2.0233246335225092,1239604,612657
여가형,쌀쌀,2.4986621908122997,4192113,1677743
여가형,적정,3.3383628076952654,10245796,3069108
여가형,고온,3.522211080751639,6614251,1877869
출근/거주지역,저온,1.619964394462658,166521,102793
출근/거주지역,쌀쌀,2.053665739287213,660654,321695
출근/거주지역,적정,3.388745241415702,2247670,663275
출근/거주지역,고온,3.274569955630046,1312929,400947
퇴근/중심지역,저온,2.2946175637393766,537030,234039
퇴근/중심지역,쌀쌀,2.5023669373137056,1532965,612606
퇴근/중심지역,적정,2.9749494305768525,3379727,1136062
퇴근/중심지역,고온,3.003854871365088,2086015,694446
