"station_no","station_name","district_name","detail_address","latitude","longitude","install_period","lcd_rack_count","qr_rack_count","operation_type","source_file"
102,망원역 1번출구 앞,마포구,서울특별시 마포구 월드컵로 72,37.5556488,126.91062927,"2015-09-06 23:42:06",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
103,망원역 2번출구 앞,마포구,서울특별시 마포구 월드컵로 79,37.55495071,126.91083527,"2015-09-06 23:43:13",,14.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
104,합정역 1번출구 앞,마포구,서울특별시 마포구 양화로 59,37.55062866,126.91498566,"2015-09-06 23:44:31",,13.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
105,합정역 5번출구 앞,마포구,서울특별시 마포구 양화로 48,37.55000687,126.91482544,"2015-09-06 23:45:30",,5.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
106,합정역 7번출구 앞,마포구,서울특별시 마포구 독막로 4,37.54864502,126.91282654,"2015-09-06 23:46:31",,12.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
107,신한은행 서교동지점,마포구,서울특별시 마포구 월드컵북로 35,37.55751038,126.91850281,"2015-09-06 23:47:57",,5.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
108,서교동 사거리,마포구,서울특별시 마포구 양화로 93,37.55274582,126.91861725,"2015-09-06 23:51:25",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
111,상수역 2번출구 앞,마포구,서울특별시 마포구 와우산로 40,37.54787064,126.92353058,"2015-09-07 01:30:37",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
113,홍대입구역 2번출구 앞,마포구,서울특별시 마포구 양화로 165,37.5574379,126.9238205,"2015-09-07 01:32:58",,25.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
114,홍대입구역 8번출구 앞,마포구,서울특별시 마포구 양화로18길 3,37.55706024,126.92442322,"2015-09-07 01:33:52",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
115,마스타 빌딩 앞,서대문구,서울특별시 서대문구 연희로 7,37.55893326,126.92711639,"2015-09-07 01:28:47",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
117,홍은사거리,서대문구,마포구 서강로1길 30,37.59115982,126.94132996,"2015-09-07 01:32:20",,23.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
118,광흥창역 2번출구 앞,마포구,서울특별시 마포구 독막로 지하165,37.54773331,126.9317627,"2015-09-07 01:33:32",,9.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
119,서강나루 공원,마포구,서울특별시 마포구 창전로 30,37.54528427,126.93105316,"2015-09-07 01:34:34",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
120,신수동 사거리,마포구,서울특별시 마포구 토정로 211,37.54524231,126.93411255,"2015-09-07 01:34:59",,5.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
121,마포소방서 앞,마포구,서울특별시 마포구 창전로 76,37.54976654,126.93317413,"2015-09-07 10:30:28",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
122,신성기사식당 앞,마포구,서울특별시 마포구 독막로 223-1,37.54745865,126.93837738,"2015-09-07 10:31:45",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
123,문화촌 공원,서대문구,서울특별시 서대문구 홍제동 277-23,37.59432983,126.9473877,"2015-09-07 10:32:24",,20.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
124,서강대 정문 건너편,마포구,서울특별시 마포구 서강로16길 72,37.55113983,126.93698883,"2015-09-07 10:33:08",,35.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
126,서강대 후문 옆,마포구,서울특별시 마포구 대흥로 122,37.55041122,126.94384766,"2015-09-07 10:34:51",,20.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
127,현대벤처빌 앞,마포구,서울특별시 마포구 백범로 10,37.5535202,126.93695068,"2015-09-07 10:35:40",,9.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
128,신촌역(2호선) 1번출구 옆,서대문구,서울특별시 서대문구 연세로 3-5,37.55549622,126.93634033,"2015-09-07 10:36:22",,20.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
129,신촌역(2호선) 6번출구 옆,마포구,서울특별시 마포구 신촌로 106,37.55505371,126.93756866,"2015-09-07 10:37:04",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
130,신촌역(2호선) 7번출구 앞,마포구,서울특별시 마포구 신촌로 94,37.55485916,126.93615723,"2015-09-07 10:37:50",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
131,증산2교,서대문구,서울특별시 서대문구 증가로 264,37.5841713,126.91110229,"2015-09-07 10:40:56",,20.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
133,해담는다리,서대문구,서울특별시 서대문구 불광천길 150,37.58203125,126.90899658,"2015-09-07 10:42:20",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
134,연세로 명물길,서대문구,서울특별시 서대문구 명물길 33,37.55789185,126.93807983,"2015-09-07 10:42:59",,8.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
135,명물길 원형무대 앞,서대문구,서대문구 창천동 31-69,37.55922699,126.93984222,"2015-09-07 10:42:59",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
137,신촌기차역입구 교차로,서대문구,서울특별시 서대문구 연세로2다길 58,37.55681229,126.9431839,"2015-09-07 10:44:49",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
138,신촌동 제1공영주차장 앞,서대문구,서울특별시 서대문구 증가로 264,37.5591774,126.93452454,"2015-09-07 10:45:33",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
139,연세대 정문 건너편,서대문구,서울특별시 서대문구 연세로 42,37.55986404,126.93441772,"2015-09-07 10:48:10",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
140,이화여대 후문,서대문구,서울특별시 서대문구 연세로 50-1,37.560009,126.94073486,"2015-09-07 10:46:54",,22.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
141,연대 대운동장 옆,서대문구,서울특별시 서대문구 연세로 50,37.56238174,126.93264771,"2015-09-07 10:44:49",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
142,아현역 4번출구 앞,마포구,서울특별시 마포구 아현동 329-15,37.55720139,126.95566559,"2016-06-29 12:00:00",11.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
143,공덕역 2번출구,마포구,서울특별시 마포구 공덕동 257-88,37.54457855,126.9502182,"2016-06-29 12:00:00",9.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
145,공덕역 5번출구,마포구,서울특별시 마포구 공덕동 237-9,37.54425049,126.95163727,"2016-06-29 12:00:00",9.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
146,마포역 2번출구 뒤,마포구,서울특별시 마포구 도화동 555-2,37.53993607,126.94582367,"2016-06-29 12:00:00",12.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
147,마포역 4번출구 뒤,마포구,서울특별시 마포구 도화동 292-29,37.53927231,126.94591522,"2016-06-29 12:00:00",,7.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
148,용강동 주민센터 앞,마포구,서울특별시 마포구 용강동 234-1,37.54234695,126.94302368,"2016-06-29 12:00:00",,11.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
150,서강대역 2번출구 앞,마포구,서울특별시 마포구 노고산동 112-13,37.55295563,126.93434143,"2016-06-29 12:00:00",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
153,성산2교 사거리,마포구,서울특별시 마포구 성산동 54-17,37.56469727,126.91261292,"2016-06-29 12:00:00",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
154,마포구청역,마포구,서울특별시 마포구 망원동 477-23,37.56090927,126.90549469,"2016-06-29 12:00:00",13.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
155,가좌역1 번출구 앞,마포구,서울특별시 마포구 성산동123-29,37.56829453,126.91504669,"2016-06-29 12:00:00",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
156,서울서부지방법원 앞,마포구,서울특별시 마포구 공덕동 105-11,37.54933167,126.95491791,"2016-06-29 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
157,애오개역 4번출구 앞,마포구,서울특별시 마포구 아현동 607-1,37.5530014,126.95668793,"2016-06-29 12:00:00",12.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
159,이대역 4번 출구,서대문구,서울특별시 서대문구 대현동 60-11,37.55695343,126.94634247,"2016-06-29 12:00:00",,5.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
160,북아현동 가구거리,서대문구,서울특별시 서대문구 북아현동 251-78,37.55754852,126.9593811,"2016-06-29 12:00:00",,13.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
161,무악재역1번 출구,서대문구,서울특별시 서대문구 통일로 380-4,37.58224487,126.95064545,"2016-06-29 12:00:00",8.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
162,봉원고가차도 밑,서대문구,서울특별시 서대문구 대신동 143-1,37.56526947,126.94624329,"2016-06-29 12:00:00",15.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
163,명지전문대학교 정문 앞,서대문구,서울특별시 서대문구 홍은동 산25-3,37.58369827,126.9249649,"2016-06-29 12:00:00",,6.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
164,북가좌1동 주민센터,서대문구,서울특별시 서대문구 북가좌동 477-1,37.57447815,126.91004944,"2016-06-29 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
165,중앙근린공원,서대문구,서울특별시 서대문구 북가좌동 470-1,37.57513809,126.91394043,"2016-06-29 12:00:00",20.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
166,가재울 초등학교,서대문구,서울특별시 서대문구 연희동 530,37.57381821,126.91923523,"2016-06-29 12:00:00",20.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
167,연가초등학교 옆,서대문구,서울특별시 서대문구 북가좌동 70-119,37.57946014,126.91712952,"2016-06-29 12:00:00",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
169,북가좌 삼거리,서대문구,서울특별시 서대문구 북가좌동 400,37.57300186,126.90779877,"2016-06-29 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
170,DMC파크뷰자이아파트 302동 앞,서대문구,서울특별시 서대문구 남가좌동 124,37.57311249,126.9224472,"2016-06-29 12:00:00",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
171,임광빌딩 앞,서대문구,미근동 317-1,37.56472397,126.96727753,"2016-06-29 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
173,서대문역 8번출구 앞,서대문구,서울특별시 서대문구 충정로2가 138,37.56477737,126.96614838,"2016-06-29 12:00:00",8.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
175,홍연2교옆,서대문구,서울특별시 서대문구 홍은동 387-16,37.57806778,126.93088531,"2016-06-29 12:00:00",20.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
176,명지대학교 도서관,서대문구,서울특별시 서대문구 거북골로 34,37.58109665,126.92402649,"2017-04-24 14:15:54",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
177,북가좌 초등학교,서대문구,서울특별시 서대문구 거북골로19길 20,37.57767487,126.9098053,"2016-07-06 12:00:00",8.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
178,증산3교 앞,서대문구,서울특별시 서대문구 북가좌동 352-9,37.57987595,126.90634918,"2016-07-06 12:00:00",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
179,가좌역 4번출구 앞,서대문구,서울특별시 서대문구 남가좌동 293-3,37.56877518,126.91529846,"2016-06-29 12:00:00",,14.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
180,충정로역 7번출구 아래,서대문구,서울특별시 서대문구 충정로3가 56-1,37.55996704,126.96246338,"2016-06-29 12:00:00",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
181,망원초록길 입구,마포구,서울특별시 마포구 마포나루길 467,37.55134201,126.90267181,"2016-07-06 12:00:00",15.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
182,망원2빗물펌프장 앞,마포구,서울특별시?마포구?동교로?8,37.5513649,126.90306091,"2016-07-06 12:00:00",,9.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
183,하늘채코오롱아파트 건너편,마포구,서울특별시 마포구 연남로 30,37.56516647,126.91939545,"2016-07-06 12:00:00",15.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
184,"7번가피자 서교망원점",마포구,서울특별시 마포구 월드컵로 119,37.55894852,126.90775299,"2016-07-06 12:00:00",,9.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
185,마포 신수공원 앞,마포구,서울특별시 마포구 현석동 106-32,37.54254532,126.93429565,"2016-07-06 12:00:00",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
186,월드컵공원,마포구,서울특별시 마포구 하늘공원로 108-1,37.56396484,126.89820862,"2016-07-06 12:00:00",,40.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
188,홍은동 정원여중 입구,서대문구,서울특별시 서대문구 연희로37안길 51,37.58638763,126.93512726,"2016-07-06 12:00:00",,9.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
191,서우빌딩,서대문구,서울특별시 서대문구 응암로 66,37.57889175,126.91073608,"2016-07-06 12:00:00",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
192,연서어린이공원,서대문구,서울특별시 서대문구 연희동 519-7,37.57222748,126.92306519,"2016-07-06 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
194,증산교 앞,서대문구,서울특별시 서대문구 불광천길 36,37.57731628,126.90296936,"2016-07-06 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
195,모래내고가차도,서대문구,서울특별시 서대문구 연희동 446-76,37.56765747,126.91780853,"2016-07-06 12:00:00",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
196,연희교차로 인근,서대문구,서울특별시 서대문구 홍제천로 48,37.56612015,126.92589569,"2016-07-06 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
198,충정2교,서대문구,서울특별시 서대문구 충정로3가 155-4,37.5621376,126.96377563,"2016-07-06 12:00:00",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
199,서울 월드컵 경기장,마포구,서울특별시 마포구 성산동 515,37.56684494,126.89644623,"2016-09-02 11:00:00",,30.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
200,국회의원회관,영등포구,서울특별시 영등포구 의사당대로 1,37.52841568,126.91391754,"2015-09-11 21:07:57",,18.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
201,진미파라곤 앞,영등포구,서울특별시 영등포구 국회대로76길 10,37.53123856,126.92133331,"2015-09-11 21:17:19",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
202,국민일보 앞,영등포구,서울특별시 영등포구 여의공원로 101,37.52881622,126.92453003,"2015-09-11 21:20:08",,30.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
203,국회의사당역 3번출구 옆,영등포구,서울특별시 영등포구 국회대로 지하758,37.5280571,126.91870117,"2015-09-17 15:07:26",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
204,국회의사당역 5번출구 옆,영등포구,서울특별시 영등포구 의사당대로 8,37.52816391,126.91702271,"2015-09-17 15:06:33",,13.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
205,산업은행 앞,영등포구,서울특별시 영등포구 의사당대로 97,37.52626419,126.92050934,"2015-09-17 15:08:00",,20.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
