rent_station_no,rent_station_name,latitude,longitude,district_name,detail_address,rent_hour,hour_rent_cnt,total_rent_cnt,hour_ratio,cluster,time
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,0,712.0,34540.0,0.020613781,1,2025-01-01 00:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,1,544.0,34540.0,0.015749855,1,2025-01-01 01:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,2,369.0,34540.0,0.010683266,1,2025-01-01 02:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,3,239.0,34540.0,0.006919514,1,2025-01-01 03:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,4,268.0,34540.0,0.00775912,1,2025-01-01 04:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,5,230.0,34540.0,0.006658946,1,2025-01-01 05:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,6,568.0,34540.0,0.016444702,1,2025-01-01 06:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,7,518.0,34540.0,0.014997105,1,2025-01-01 07:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,8,1731.0,34540.0,0.050115808,1,2025-01-01 08:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,9,2146.0,34540.0,0.062130863,1,2025-01-01 09:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,10,1579.0,34540.0,0.045715113,1,2025-01-01 10:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,11,1628.0,34540.0,0.047133758,1,2025-01-01 11:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,12,1645.0,34540.0,0.047625941,1,2025-01-01 12:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,13,1959.0,34540.0,0.05671685,1,2025-01-01 13:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,14,1958.0,34540.0,0.056687898,1,2025-01-01 14:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,15,1996.0,34540.0,0.057788072,1,2025-01-01 15:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,16,2171.0,34540.0,0.062854661,1,2025-01-01 16:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,17,2520.0,34540.0,0.072958888,1,2025-01-01 17:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,18,3174.0,34540.0,0.091893457,1,2025-01-01 18:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,19,2653.0,34540.0,0.076809496,1,2025-01-01 19:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,20,1932.0,34540.0,0.055935148,1,2025-01-01 20:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,21,1696.0,34540.0,0.04910249,1,2025-01-01 21:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,22,1404.0,34540.0,0.040648523,1,2025-01-01 22:00:00
102.0,망원역 1번출구 앞,37.5556488,126.9106293,마포구,서울특별시 마포구 월드컵로 72,23,900.0,34540.0,0.026056746,1,2025-01-01 23:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,0,836.0,26170.0,0.031944975,0,2025-01-01 00:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,1,715.0,26170.0,0.02732136,0,2025-01-01 01:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,2,424.0,26170.0,0.016201758,0,2025-01-01 02:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,3,303.0,26170.0,0.011578143,0,2025-01-01 03:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,4,158.0,26170.0,0.006037447,0,2025-01-01 04:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,5,105.0,26170.0,0.004012228,0,2025-01-01 05:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,6,147.0,26170.0,0.005617119,0,2025-01-01 06:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,7,535.0,26170.0,0.020443256,0,2025-01-01 07:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,8,633.0,26170.0,0.024188002,0,2025-01-01 08:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,9,1053.0,26170.0,0.040236912,0,2025-01-01 09:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,10,1051.0,26170.0,0.040160489,0,2025-01-01 10:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,11,961.0,26170.0,0.036721437,0,2025-01-01 11:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,12,1239.0,26170.0,0.047344287,0,2025-01-01 12:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,13,1286.0,26170.0,0.049140237,0,2025-01-01 13:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,14,1430.0,26170.0,0.054642721,0,2025-01-01 14:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,15,1619.0,26170.0,0.061864731,0,2025-01-01 15:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,16,1843.0,26170.0,0.07042415,0,2025-01-01 16:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,17,1853.0,26170.0,0.070806267,0,2025-01-01 17:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,18,2497.0,26170.0,0.095414597,0,2025-01-01 18:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,19,2246.0,26170.0,0.085823462,0,2025-01-01 19:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,20,1703.0,26170.0,0.065074513,0,2025-01-01 20:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,21,1458.0,26170.0,0.055712648,0,2025-01-01 21:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,22,1111.0,26170.0,0.042453191,0,2025-01-01 22:00:00
103.0,망원역 2번출구 앞,37.55495071,126.9108353,마포구,서울특별시 마포구 월드컵로 79,23,964.0,26170.0,0.036836072,0,2025-01-01 23:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,0,397.0,15621.0,0.025414506,0,2025-01-01 00:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,1,295.0,15621.0,0.018884835,0,2025-01-01 01:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,2,241.0,15621.0,0.01542795,0,2025-01-01 02:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,3,200.0,15621.0,0.012803278,0,2025-01-01 03:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,4,141.0,15621.0,0.009026311,0,2025-01-01 04:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,5,106.0,15621.0,0.006785737,0,2025-01-01 05:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,6,52.0,15621.0,0.003328852,0,2025-01-01 06:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,7,226.0,15621.0,0.014467704,0,2025-01-01 07:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,8,635.0,15621.0,0.040650407,0,2025-01-01 08:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,9,522.0,15621.0,0.033416555,0,2025-01-01 09:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,10,421.0,15621.0,0.026950899,0,2025-01-01 10:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,11,625.0,15621.0,0.040010243,0,2025-01-01 11:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,12,892.0,15621.0,0.057102618,0,2025-01-01 12:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,13,856.0,15621.0,0.054798028,0,2025-01-01 13:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,14,841.0,15621.0,0.053837782,0,2025-01-01 14:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,15,885.0,15621.0,0.056654504,0,2025-01-01 15:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,16,1067.0,15621.0,0.068305486,0,2025-01-01 16:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,17,1414.0,15621.0,0.090519173,0,2025-01-01 17:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,18,1715.0,15621.0,0.109788106,0,2025-01-01 18:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,19,1286.0,15621.0,0.082325075,0,2025-01-01 19:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,20,928.0,15621.0,0.059407208,0,2025-01-01 20:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,21,793.0,15621.0,0.050764996,0,2025-01-01 21:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,22,635.0,15621.0,0.040650407,0,2025-01-01 22:00:00
104.0,합정역 1번출구 앞,37.55062866,126.9149857,마포구,서울특별시 마포구 양화로 59,23,448.0,15621.0,0.028679342,0,2025-01-01 23:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,0,341.0,8909.0,0.038275901,0,2025-01-01 00:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,1,242.0,8909.0,0.027163542,0,2025-01-01 01:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,2,185.0,8909.0,0.020765518,0,2025-01-01 02:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,3,115.0,8909.0,0.012908295,0,2025-01-01 03:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,4,81.0,8909.0,0.00909193,0,2025-01-01 04:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,5,34.0,8909.0,0.003816365,0,2025-01-01 05:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,6,30.0,8909.0,0.003367381,0,2025-01-01 06:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,7,141.0,8909.0,0.015826692,0,2025-01-01 07:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,8,248.0,8909.0,0.027837019,0,2025-01-01 08:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,9,239.0,8909.0,0.026826804,0,2025-01-01 09:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,10,269.0,8909.0,0.030194186,0,2025-01-01 10:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,11,308.0,8909.0,0.034571781,0,2025-01-01 11:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,12,397.0,8909.0,0.044561679,0,2025-01-01 12:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,13,453.0,8909.0,0.050847458,0,2025-01-01 13:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,14,437.0,8909.0,0.049051521,0,2025-01-01 14:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,15,496.0,8909.0,0.055674037,0,2025-01-01 15:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,16,584.0,8909.0,0.065551689,0,2025-01-01 16:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,17,683.0,8909.0,0.076664048,0,2025-01-01 17:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,18,898.0,8909.0,0.100796947,0,2025-01-01 18:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,19,852.0,8909.0,0.095633629,0,2025-01-01 19:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,20,527.0,8909.0,0.059153665,0,2025-01-01 20:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,21,534.0,8909.0,0.059939387,0,2025-01-01 21:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,22,503.0,8909.0,0.05645976,0,2025-01-01 22:00:00
105.0,합정역 5번출구 앞,37.55000687,126.9148254,마포구,서울특별시 마포구 양화로 48,23,312.0,8909.0,0.035020766,0,2025-01-01 23:00:00
106.0,합정역 7번출구 앞,37.54864502,126.9128265,마포구,서울특별시 마포구 독막로 4,0,893.0,23371.0,0.038209747,0,2025-01-01 00:00:00
106.0,합정역 7번출구 앞,37.54864502,126.9128265,마포구,서울특별시 마포구 독막로 4,1,705.0,23371.0,0.03016559,0,2025-01-01 01:00:00
106.0,합정역 7번출구 앞,37.54864502,126.9128265,마포구,서울특별시 마포구 독막로 4,2,369.0,23371.0,0.015788798,0,2025-01-01 02:00:00
106.0,합정역 7번출구 앞,37.54864502,126.9128265,마포구,서울특별시 마포구 독막로 4,3,251.0,23371.0,0.010739806,0,2025-01-01 03:00:00
106.0,합정역 7번출구 앞,37.54864502,126.9128265,마포구,서울특별시 마포구 독막로 4,4,144.0,23371.0,0.006161482,0,2025-01-01 04:00:00
